Posição ;Unidade federativa ;Populacao ;% da pop. total 
1; São Paulo ;45 094 866 ;21,70%
2; Minas Gerais ;21 119 536 ;10,20%
3; Rio de Janeiro ;16 718 956 ;8,10%
4;Bahia;15 344 447 ;7,40%
5; Rio Grande do Sul ;11 322 895 ;5,50%
6; Paraná ;11 320 892 ;5,50%
7; Pernambuco ;9 473 266 ;4,60%
8; Ceará ;9 020 460 ;4,40%
9;Pará;8 366 628 ;4,00%
10; Santa Catarina ;7 001 161 ;3,40%
11; Maranhão ;7 000 229 ;3,40%
12; Goiás ;6 778 772 ;3,20%
13; Amazonas ;4 063 614 ;1,90%
14; Paraíba ;4 025 558 ;1,90%
15; Espírito Santo ;4 016 356 ;1,90%
16; Rio Grande do Norte ;3 507 003 ;1,70%
17; Alagoas ;3 375 823 ;1,60%
18; Mato Grosso ;3 344 544 ;1,60%
19; Piauí ;3 219 257 ;1,60%
20; Distrito Federal ;3 039 444 ;1,40%
21; Mato Grosso do Sul ;2 713 147 ;1,30%
22; Sergipe ;2 288 116 ;1,10%
23; Rondônia ;1 805 788 ;0,90%
24; Tocantins ;1 550 194 ;0,70%
25; Acre ;829 619 ;0,40%
26; Amapá ;797 722 ;0,40%
27; Roraima ;522 636 ;0,20%
